Simulation Report - opt page replacment

[9]
[9, 0]
[9, 0, 7]
[9, 0, 7, 6]
[9, 0, 4, 6]
[9, 7, 4, 6]
[9, 1, 4, 6]
[9, 1, 8, 6]
[9, 1, 8, 6]
[9, 1, 8, 6]
[9, 7, 8, 6]
[2, 7, 8, 6]
[3, 7, 8, 6]
[4, 7, 8, 6]
[4, 7, 8, 1]
[4, 7, 8, 1]
[4, 7, 8, 6]
[4, 7, 8, 6]
[4, 7, 8, 6]
[4, 7, 3, 6]
[4, 7, 1, 6]
[4, 7, 2, 6]
[0, 7, 2, 6]
[0, 7, 4, 6]
[0, 7, 8, 6]
[0, 5, 8, 6]
[0, 5, 8, 6]
[0, 9, 8, 6]
[0, 9, 8, 10]
[0, 9, 6, 10]
[0, 9, 6, 10]
[0, 9, 2, 10]
[0, 9, 2, 10]
[0, 9, 2, 10]
[0, 1, 2, 10]
[0, 1, 2, 9]
[0, 1, 2, 9]
[0, 1, 2, 4]
[0, 1, 2, 4]
[9, 1, 2, 4]
[0, 1, 2, 4]
[0, 3, 2, 4]
[5, 3, 2, 4]
[5, 3, 6, 4]
[5, 3, 6, 4]
[5, 3, 7, 4]
[5, 3, 7, 4]
[5, 3, 7, 2]
[5, 0, 7, 2]
[5, 1, 7, 2]
[9, 1, 7, 2]
[6, 1, 7, 2]
[6, 1, 7, 9]
[6, 1, 7, 3]
[6, 8, 7, 3]
[6, 8, 5, 3]
[10, 8, 5, 3]
[10, 9, 5, 3]
[10, 2, 5, 3]
[10, 2, 5, 3]
[10, 2, 8, 3]
[5, 2, 8, 3]
[5, 2, 8, 10]
[5, 3, 8, 10]
[5, 3, 9, 10]
[5, 0, 9, 10]
[5, 8, 9, 10]
[5, 8, 9, 10]
[0, 8, 9, 10]
[0, 8, 9, 4]
[0, 8, 9, 4]
[0, 8, 9, 4]
[0, 8, 7, 4]
[0, 8, 3, 4]
[5, 8, 3, 4]
[1, 8, 3, 4]
[1, 8, 2, 4]
[1, 0, 2, 4]
[1, 0, 6, 4]
[7, 0, 6, 4]
[7, 0, 6, 4]
Faults: 63
